Len,Standart,Vinograd,Optimized
 101,14.375,14.2188,11.875
 201,112.5,110.312,92.1875
 301,381.25,378.125,315.625
 401,915.625,896.875,746.875
 501,1790.62,1756.25,1468.75
 601,3087.5,3037.5,2550
 701,4946.88,4862.5,4053.12
 801,7384.38,7303.12,6056.25
 901,10759.4,10593.8,8840.62
1001,17609.4,17534.4,14659.4
