Len,Bubble,Selection,Gnome
100,0.0201563,0.0107812,0.0240625
200,0.0851563,0.0439063,0.0825
300,0.194375,0.098125,0.1875
400,0.342187,0.168281,0.349687
500,0.514062,0.257344,0.508281
