Len,Bubble,Selection,Gnome
100,0.0126563,0.0104688,0.0003125
200,0.0495312,0.0403125,0.00078125
300,0.110625,0.0870313,0.0009375
400,0.195937,0.153125,0.00125
500,0.305625,0.235625,0.0015625
