Len,Bubble,Selection,Gnome
 10,0.000234375,0.00015625,0.000390625
 20,0.00096875,0.000515625,0.001625
 30,0.00225,0.001125,0.0038125
 40,0.00396875,0.00229687,0.00671875
 50,0.00617188,0.0035,0.0104844
 60,0.00885937,0.00471875,0.0150625
 70,0.0120625,0.00642187,0.0204531
 80,0.0160156,0.0081875,0.0268125
 90,0.0203906,0.0102344,0.0340625
