Len,Bubble,Selection,Gnome
 10,0.000109375,0.000140625,3.125e-05
 20,0.00046875,0.00053125,6.25e-05
 30,0.00120312,0.00123438,0.000125
 40,0.00210938,0.0021875,0.000140625
 50,0.00326562,0.00296875,0.000171875
 60,0.0046875,0.00428125,0.000203125
 70,0.00628125,0.00579687,0.00021875
 80,0.00815625,0.00682812,0.00025
 90,0.0102656,0.00854688,0.000296875
