Len,Bubble,Selection,Gnome
 10,0.000140625,0.000125,0.00015625
 20,0.000578125,0.000453125,0.00059375
 30,0.00134375,0.000953125,0.00132813
 40,0.00270312,0.00167187,0.00342188
 50,0.00432813,0.00267188,0.00567187
 60,0.0061875,0.00396875,0.00692188
 70,0.00903125,0.00548437,0.0105781
 80,0.0121875,0.0070625,0.014375
 90,0.0156875,0.00885937,0.0180313
